time	V(n001)
2.313896194963305e-003	1.328587e-003
2.317380638917038e-003	1.503098e-003
2.319829704613912e-003	1.601180e-003
2.321630335785411e-003	1.659277e-003
2.324792698599026e-003	1.731220e-003
2.326422946227790e-003	1.753028e-003
2.328815819071545e-003	1.766213e-003
2.332690465323771e-003	1.741430e-003
2.338836672014232e-003	1.597069e-003
2.347975986144653e-003	1.215773e-003
2.357741611144652e-003	7.560409e-004
2.363777464619324e-003	5.365195e-004
2.367299914651962e-003	4.526477e-004
2.369771348519579e-003	4.175295e-004
2.371586819316633e-003	4.051973e-004
2.373221893072993e-003	4.042111e-004
2.374877345524846e-003	4.131513e-004
2.376454410841614e-003	4.310121e-004
2.378866972765317e-003	4.758164e-004
2.382772828162252e-003	5.914119e-004
2.388964797653367e-003	8.700354e-004
2.398155812518594e-003	1.421247e-003
2.407921437518593e-003	2.010674e-003
2.413562531610838e-003	2.267787e-003
2.417845319427061e-003	2.393972e-003
2.420232701223042e-003	2.433687e-003
2.421931556341996e-003	2.447635e-003
2.423638425877884e-003	2.449317e-003
2.425992884964070e-003	2.431066e-003
2.428116328409373e-003	2.394150e-003
2.431561887510945e-003	2.293925e-003
2.437069023254863e-003	2.038135e-003
2.445446044180739e-003	1.474777e-003
2.455211669180739e-003	7.035423e-004
2.462601057548506e-003	1.692439e-004
2.466510537076415e-003	-6.204409e-005
2.469204470987498e-003	-1.937131e-004
2.471165515344223e-003	-2.737845e-004
2.472697906634410e-003	-3.266383e-004
2.474599492728658e-003	-3.800599e-004
2.476351112310290e-003	-4.172009e-004
2.478699021902097e-003	-4.488615e-004
2.482502318139975e-003	-4.573445e-004
2.488543520867211e-003	-3.730622e-004
2.497562687047683e-003	-9.130342e-005
2.507328312047683e-003	2.606272e-004
2.513594043463686e-003	4.152488e-004
2.517175583778600e-003	4.557341e-004
2.519681605878424e-003	4.587986e-004
2.521519949611331e-003	4.467790e-004
2.523138791680893e-003	4.258378e-004
2.524729723004057e-003	3.956536e-004
2.526399534886795e-003	3.536875e-004
2.528777755742593e-003	2.758950e-004
2.532629163416704e-003	1.067154e-004
2.538741228435168e-003	-2.582141e-004
2.547841707609608e-003	-9.453389e-004
2.557607332609608e-003	-1.698805e-003
2.563718215109593e-003	-2.081274e-003
2.567259702670721e-003	-2.248640e-003
2.569742305069040e-003	-2.337606e-003
2.573194992981015e-003	-2.419228e-003
2.576436649256548e-003	-2.449505e-003
2.578838097246650e-003	-2.442819e-003
2.582726338568088e-003	-2.381088e-003
2.588107716306000e-003	-2.201302e-003
2.596103501915068e-003	-1.781359e-003
2.605869126915068e-003	-1.167872e-003
2.612919733531474e-003	-7.744238e-004
2.616722477472097e-003	-6.100159e-004
2.619355986975798e-003	-5.220088e-004
2.621277863750540e-003	-4.725383e-004
2.622837736015015e-003	-4.419814e-004
2.624480679745425e-003	-4.193227e-004
2.626306920385757e-003	-4.057335e-004
2.628627160133548e-003	-4.060413e-004
2.632386494980154e-003	-4.470591e-004
2.638362740877228e-003	-6.047232e-004
2.647306540169233e-003	-9.874095e-004
2.657072165169233e-003	-1.444074e-003
2.663478762841940e-003	-1.665120e-003
2.667097676553929e-003	-1.738499e-003
2.669625457479477e-003	-1.762949e-003
2.671478144237577e-003	-1.765789e-003
2.674637401855719e-003	-1.740030e-003
2.676365209280464e-003	-1.709395e-003
2.678721944028537e-003	-1.648873e-003
2.682539253027497e-003	-1.506641e-003
2.688601119449248e-003	-1.181262e-003
2.697644095061138e-003	-5.425732e-004
2.707409720061138e-003	1.792112e-004
2.713630421439555e-003	5.555723e-004
2.717200205914802e-003	7.183456e-004
2.719699364992217e-003	8.043964e-004
2.721533177387855e-003	8.517811e-004
2.723155232235998e-003	8.821656e-004
2.724758929706694e-003	9.013694e-004
2.726410392847372e-003	9.097999e-004
2.728795409396100e-003	9.017411e-004
2.732657596730837e-003	8.394417e-004
2.738785506025284e-003	6.279721e-004
2.745102096888730e-003	2.991244e-004
2.752095924338254e-003	-1.320041e-004
2.758412489889118e-003	-5.154505e-004
2.764068756481530e-003	-8.043126e-004
2.767498302136817e-003	-9.388245e-004
2.769914888170907e-003	-1.011206e-003
2.771693904766530e-003	-1.051676e-003
2.773352195443044e-003	-1.079225e-003
2.774920540897799e-003	-1.096068e-003
2.776470466316741e-003	-1.103853e-003
2.778893073634439e-003	-1.098475e-003
2.782814843756929e-003	-1.045949e-003
2.789030109814174e-003	-8.646848e-004
2.798247287586257e-003	-4.501177e-004
2.808012912586257e-003	7.528137e-006
2.813896194963304e-003	2.040919e-004
2.817380638917037e-003	2.720551e-004
2.819829704613911e-003	2.942113e-004
2.821630335785411e-003	2.960639e-004
2.823275848045597e-003	2.867111e-004
2.824792698599026e-003	2.686108e-004
2.826422946227790e-003	2.389836e-004
2.828815819071545e-003	1.765796e-004
2.832690465323771e-003	2.958933e-005
2.838836672014232e-003	-3.064740e-004
2.847975986144653e-003	-9.621128e-004
2.857741611144652e-003	-1.690969e-003
2.863777464619325e-003	-2.059571e-003
2.867299914651962e-003	-2.223105e-003
2.869771348519579e-003	-2.310568e-003
2.873221893072994e-003	-2.391742e-003
2.876454410841614e-003	-2.422667e-003
2.878866972765317e-003	-2.417072e-003
2.882772828162253e-003	-2.357599e-003
2.888964797653369e-003	-2.148289e-003
2.898155812518597e-003	-1.652477e-003
2.907921437518596e-003	-1.055830e-003
2.913562531610843e-003	-7.623798e-004
2.917845319427065e-003	-5.926798e-004
2.920232701223042e-003	-5.227408e-004
2.921931556341996e-003	-4.846906e-004
2.923638425877883e-003	-4.566311e-004
2.925992884964070e-003	-4.349563e-004
2.928116328409373e-003	-4.323677e-004
2.931561887510945e-003	-4.615187e-004
2.937069023254864e-003	-5.861486e-004
2.945446044180741e-003	-9.102864e-004
2.955211669180741e-003	-1.346818e-003
2.962601057548506e-003	-1.592409e-003
2.966510537076416e-003	-1.660114e-003
2.969204470987498e-003	-1.675145e-003
2.971165515344223e-003	-1.668449e-003
2.972697906634410e-003	-1.652476e-003
2.974599492728658e-003	-1.619307e-003
2.976351112310290e-003	-1.575597e-003
2.978699021902097e-003	-1.497364e-003
2.982502318139975e-003	-1.324536e-003
2.988543520867211e-003	-9.454543e-004
2.997562687047683e-003	-2.137826e-004
3.007328312047683e-003	6.280780e-004
3.013594043463686e-003	1.092762e-003
3.017175583778600e-003	1.307402e-003
3.019681605878424e-003	1.430571e-003
